ResponseId,Career_level,Research_approach,Discipline,Discipline_category,Awareness_Open_Research,Awareness_Preregistration,Awareness_Open_Material,Awareness_Open_Protocols,Awareness_Open_Data,Awareness_FAIR_Data,Awareness_Open_Code/Software,Awareness_Preprints,Awareness_Open_Peer_Review,Awareness_Open_Access,Awareness_Replication_Studies,Awareness_Co-production,Awareness_Recognising_Contributions,Awareness_Citizen_Science,Use_Open_Research,Use_Preregistration,Use_Open_Material,Use_Open_Protocols,Use_Open_Data,Use_FAIR_Data,Use_Open_Code/Software,Use_Preprints,Use_Open_Peer_Review,Use_Open_Access,Use_Replication_Studies,Use_Co-production,Use_Recognising_Contributions,Use_Citizen_Science,Attitudes_Usefulness,Attitudes_Participation,Attitudes_Confidence,Attitudes_Comprehension,Attitudes_Support,Attitudes_Training,Attitudes_Norms,Attitudes_Resources,Attitudes_Assessment,Facilitators_Guidance,Facilitators_Training,Facilitators_Ethical_clarity,Facilitators_Prioritisation,Facilitators_Infrastructure,Facilitators_Time_allocation,Facilitators_Incentives,Facilitators_Recognition,Facilitators_Peer_support,Facilitators_Disciplinary_norms,Facilitators_No_intention,Facilitators_Already_engaged,Facilitators_Something_else,Methods_Archival_/_primary_source,Methods_Case_study_analysis,Methods_Experimental_methods,Methods_Interview_methods,Methods_Meta-analysis_/_research_synthesis,Methods_Observational_methods,Methods_Practise-based_research,Methods_Probabilistic_/_simulation_methods,Methods_Secondary_source_analysis,Methods_Survey_based_methods,Methods_Theoretical_research,Methods_Other
R_8jiSQ4ebXEKeuL7,Mid,Quantitative,Biosciences,Health & Biological Sciences,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,I have used it,I have NOT used it,I have used it,I have NOT used it,I have used it,I have used it,I use it often,I have used it,I have NOT used it,I use it often,I have NOT used it,Not applicable to my research,I have NOT used it,Not applicable to my research,Strongly agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Neutral,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
R_8R8WvTe0urvW6Ki,Senior,Both,Medical-allied subjects,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,I use it often,I have used it,I have used it,I have used it,I have NOT used it,I have NOT used it,I use it often,I have NOT used it,I use it often,I have used it,I use it often,I use it often,I have used it,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Somewhat disagree,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
R_8bWuCgtHmP56x1f,Junior,Qualitative,History and classics,Arts and Humanities,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,I have used it,I have NOT used it,I have NOT used it,I have NOT used it,I have used it,I have NOT used it,Not applicable to my research,I use it often,I have NOT used it,I have used it,Not applicable to my research,I have NOT used it,I have NOT used it,I have NOT used it,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Not applicable,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_2EcZyNasZpegoyf,Mid,Both,Communications and media,Arts and Humanities,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I have used it,I have NOT used it,I have NOT used it,I have NOT used it,I have used it,I have NOT used it,Not applicable to my research,I have used it,I have NOT used it,I use it often,Not applicable to my research,I have NOT used it,I have NOT used it,I have NOT used it,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Not applicable,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
R_2UYPxP9NXK1Xqr5,Junior,Qualitative,"Literature, language and area studies",Arts and Humanities,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable to my research,Not applicable to my research,Not applicable to my research,Not applicable to my research,Not applicable to my research,Not applicable to my research,Not applicable to my research,I have NOT used it,I have NOT used it,I have NOT used it,Not applicable to my research,I have NOT used it,I have NOT used it,Not applicable to my research,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Neutral,Neutral,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_5xFDghFFASitQK5,Mid,Qualitative,"Literature, language and area studies",Arts and Humanities,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,I use it often,Not applicable to my research,Not applicable to my research,Not applicable to my research,Not applicable to my research,Not applicable to my research,Not applicable to my research,I use it often,I have NOT used it,I have used it,Not applicable to my research,I have used it,I use it often,Not applicable to my research,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_2cDAnG87pmuEMdb,Senior,Quantitative,Biosciences,Health & Biological Sciences,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,I have used it,NA,Not applicable to my research,NA,I have used it,I use it often,Not applicable to my research,I use it often,I have used it,I use it often,I have NOT used it,NA,I have used it,I have used it,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Neutral,Neutral,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_8YEYT03OnhDqOOM,Junior,Both,Social sciences,Social Sciences,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,Not applicable to my research,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,Neutral,Neutral,Strongly disagree,Strongly disagree,Somewhat disagree,Neutral,Somewhat disagree,Somewhat disagree,Not applicable,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
R_8Cew16clGPM1j0m,Mid,Quantitative,Medical-allied subjects,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,Not applicable to my research,I use it often,I use it often,I use it often,I have used it,I use it often,I use it often,I use it often,I use it often,I have NOT used it,I have NOT used it,I use it often,I have NOT used it,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Not applicable,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_8hFpZkWm917GkFW,Mid,Quantitative,Medical-allied subjects,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I have used it,I have used it,I have used it,I have used it,I have used it,I use it often,I have used it,I use it often,I have used it,I use it often,I have NOT used it,I have used it,I use it often,I have NOT used it,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
